Fecha,Campana,Estacion,Grupo,Longitude,Latitude,pH,Temp_C,TDS_mgL,Ca_mgL,Mg_mgL,Na_mgL,K_mgL,HCO3_mgL,CO3_mgL,SO4_mgL,Cl_mgL,F_mgL
2022-04-11,C03,Amargosa Tracer Well 2,Carbonate in Ash Meadows,-116.22749993863542,36.53456857486851,7.82,24.7,519.0,44.05,20.14,68.39,7.82,283.45,0.0,73.37,20.13,1.71
2022-04-11,C03,Army Well #1,Carbonate in Ash Meadows,-116.03729999376596,36.58978108246754,7.7,25.9,457.0,43.73,21.95,40.21,5.72,273.23,0.0,54.42,17.21,0.92
2022-04-11,C03,AW03,Central Amargosa Desert,-116.4450492026956,36.627732092347,7.66,25.0,267.0,25.91,2.01,46.61,4.73,145.56,0.0,32.43,9.33,0.9
2022-04-11,C03,AW04,Central Amargosa Desert,-116.47921680298263,36.59106529063086,7.81,24.7,246.0,27.06,2.14,37.88,5.27,138.22,0.0,27.71,6.33,1.01
2022-04-11,C03,AW05,Central Amargosa Desert,-116.47893880298592,36.58217644111423,7.81,24.9,269.0,29.89,2.62,41.03,5.46,147.95,0.0,32.1,8.76,0.72
2022-04-11,C03,AW06,Central Amargosa Desert,-116.47421640295715,36.57773204940819,7.73,24.9,243.0,21.97,2.45,39.3,6.43,134.37,0.0,31.37,7.0,0.0
2022-04-11,C03,AW07,Central Amargosa Desert,-116.46254920287647,36.57162111021975,7.67,25.3,323.0,28.1,3.28,61.36,8.75,139.8,0.0,66.75,14.81,0.0
2022-04-11,C03,AW08,Central Amargosa Desert,-116.4606046028628,36.569398913731774,7.67,24.5,320.0,22.06,2.44,69.5,9.25,135.2,0.0,68.47,11.94,0.93
2022-04-11,C03,AW09,Central Amargosa Desert,-116.49643920310228,36.556343071023335,7.64,24.5,270.0,18.93,2.66,52.26,9.28,145.63,0.0,30.98,9.09,1.22
2022-04-11,C03,AW10,Central Amargosa Desert,-116.47004920294124,36.55551000677908,7.69,24.4,280.0,29.08,1.85,49.34,4.47,128.73,0.0,56.43,10.53,0.0
2022-04-11,C03,AW11,Central Amargosa Desert,-116.48927200306866,36.5466765232172,7.85,25.9,249.0,21.76,1.1,47.21,8.55,124.27,0.0,36.63,8.61,0.97
2022-04-11,C03,AW12,Central Amargosa Desert,-116.50707820315472,36.55420399323803,7.73,25.5,284.0,17.22,0.67,70.99,6.79,142.16,0.0,34.35,10.42,1.53
2022-10-17,C04,Amargosa Tracer Well 2,Carbonate in Ash Meadows,-116.22749993863542,36.53456857486851,7.5,23.6,514.0,45.39,19.43,68.32,7.98,279.16,0.0,70.74,21.39,1.77
2022-10-17,C04,Army Well #1,Carbonate in Ash Meadows,-116.03729999376596,36.58978108246754,7.31,24.3,447.0,41.38,22.64,42.78,5.36,258.5,0.0,56.87,18.64,0.9
2022-10-17,C04,AW03,Central Amargosa Desert,-116.4450492026956,36.627732092347,7.52,24.0,280.0,26.63,2.01,45.52,4.82,156.53,0.0,33.72,9.4,0.97
2022-10-17,C04,AW04,Central Amargosa Desert,-116.47921680298263,36.59106529063086,7.47,23.6,251.0,28.2,2.19,39.75,5.04,139.4,0.0,28.24,7.02,1.01
2022-10-17,C04,AW05,Central Amargosa Desert,-116.47893880298592,36.58217644111423,7.42,25.0,278.0,28.97,2.54,43.78,5.6,155.1,0.0,32.27,9.34,0.67
2022-10-17,C04,AW06,Central Amargosa Desert,-116.47421640295715,36.57773204940819,7.28,24.5,257.0,22.31,2.36,47.59,6.93,138.95,0.0,30.69,7.87,0.0
2022-10-17,C04,AW07,Central Amargosa Desert,-116.46254920287647,36.57162111021975,7.57,24.1,331.0,29.5,3.33,64.64,8.79,138.26,0.0,70.96,15.83,0.0
2022-10-17,C04,AW08,Central Amargosa Desert,-116.4606046028628,36.569398913731774,7.59,24.0,346.0,22.5,2.64,75.48,8.59,142.23,0.0,79.45,14.29,0.93
2022-10-17,C04,AW09,Central Amargosa Desert,-116.49643920310228,36.556343071023335,7.49,24.0,272.0,18.93,2.6,56.5,9.03,139.81,0.0,33.72,10.18,1.19
2022-10-17,C04,AW10,Central Amargosa Desert,-116.47004920294124,36.55551000677908,7.53,23.8,294.0,28.68,1.82,57.46,4.32,132.1,0.0,57.88,11.96,0.0
2022-10-17,C04,AW11,Central Amargosa Desert,-116.48927200306866,36.5466765232172,7.53,24.0,257.0,22.02,1.06,49.8,8.64,125.72,0.0,39.25,9.4,0.95
2022-10-17,C04,AW12,Central Amargosa Desert,-116.50707820315472,36.55420399323803,7.42,23.9,298.0,16.69,0.7,77.84,7.14,146.81,0.0,35.18,11.8,1.46
2023-04-10,C05,Amargosa Tracer Well 2,Carbonate in Ash Meadows,-116.22749993863542,36.53456857486851,7.03,21.0,528.0,44.73,20.57,69.04,7.83,291.67,0.0,71.46,21.07,1.74
2023-04-10,C05,Army Well #1,Carbonate in Ash Meadows,-116.03729999376596,36.58978108246754,7.2,20.6,474.0,46.44,22.0,42.8,5.73,278.98,0.0,57.93,19.11,0.91
2023-04-10,C05,AW03,Central Amargosa Desert,-116.4450492026956,36.627732092347,7.06,20.7,277.0,26.83,2.05,51.37,4.89,145.25,0.0,36.35,9.74,0.87
2023-04-10,C05,AW04,Central Amargosa Desert,-116.47921680298263,36.59106529063086,7.23,20.9,249.0,26.8,2.21,42.59,5.53,137.24,0.0,26.4,7.47,1.02
2023-04-10,C05,AW05,Central Amargosa Desert,-116.47893880298592,36.58217644111423,7.19,21.4,278.0,28.31,2.61,47.49,5.6,150.9,0.0,32.44,10.12,0.69
2023-04-10,C05,AW06,Central Amargosa Desert,-116.47421640295715,36.57773204940819,7.06,21.5,255.0,21.21,2.35,50.56,6.49,132.84,0.0,33.7,8.23,0.0
2023-04-10,C05,AW07,Central Amargosa Desert,-116.46254920287647,36.57162111021975,7.14,21.6,333.0,28.52,3.37,72.04,8.82,131.39,0.0,71.53,17.18,0.0
2023-04-10,C05,AW08,Central Amargosa Desert,-116.4606046028628,36.569398913731774,7.22,21.6,344.0,21.66,2.41,76.77,8.53,139.53,0.0,79.27,14.88,0.92
2023-04-10,C05,AW09,Central Amargosa Desert,-116.49643920310228,36.556343071023335,6.98,21.6,281.0,18.02,2.67,62.16,8.81,144.52,0.0,32.75,11.03,1.19
2023-04-10,C05,AW10,Central Amargosa Desert,-116.47004920294124,36.55551000677908,7.15,21.0,294.0,27.02,1.79,58.68,4.34,126.52,0.0,61.92,13.26,0.0
2023-04-10,C05,AW11,Central Amargosa Desert,-116.48927200306866,36.5466765232172,6.91,21.2,272.0,21.85,1.04,55.5,8.2,131.53,0.0,41.52,11.09,1.0
2023-04-10,C05,AW12,Central Amargosa Desert,-116.50707820315472,36.55420399323803,7.12,21.0,303.0,15.91,0.65,85.52,6.8,141.22,0.0,38.02,13.46,1.47
2023-10-16,C06,Amargosa Tracer Well 2,Carbonate in Ash Meadows,-116.22749993863542,36.53456857486851,7.02,18.6,534.0,43.43,20.26,73.9,8.12,292.38,0.0,71.67,22.25,1.72
2023-10-16,C06,Army Well #1,Carbonate in Ash Meadows,-116.03729999376596,36.58978108246754,7.08,18.6,461.0,44.51,19.9,41.77,5.45,271.59,0.0,57.91,18.94,0.88
2023-10-16,C06,AW03,Central Amargosa Desert,-116.4450492026956,36.627732092347,7.14,17.4,282.0,25.81,1.88,51.44,4.68,150.78,0.0,36.05,10.88,0.95
2023-10-16,C06,AW04,Central Amargosa Desert,-116.47921680298263,36.59106529063086,7.09,18.1,254.0,27.12,2.11,43.43,5.08,138.37,0.0,28.66,8.48,1.0
2023-10-16,C06,AW05,Central Amargosa Desert,-116.47893880298592,36.58217644111423,7.02,18.5,272.0,28.06,2.53,48.36,5.5,143.03,0.0,33.68,10.32,0.69
2023-10-16,C06,AW06,Central Amargosa Desert,-116.47421640295715,36.57773204940819,7.09,19.1,259.0,21.67,2.29,54.4,6.81,132.67,0.0,32.54,8.61,0.0
2023-10-16,C06,AW07,Central Amargosa Desert,-116.46254920287647,36.57162111021975,7.12,18.1,341.0,25.81,3.28,72.06,8.59,139.91,0.0,73.2,18.09,0.0
2023-10-16,C06,AW08,Central Amargosa Desert,-116.4606046028628,36.569398913731774,7.22,18.0,354.0,21.51,2.48,90.41,8.85,133.32,0.0,79.87,16.34,0.94
2023-10-16,C06,AW09,Central Amargosa Desert,-116.49643920310228,36.556343071023335,7.12,18.5,287.0,16.87,2.54,65.21,8.36,146.08,0.0,34.67,12.11,1.24
2023-10-16,C06,AW10,Central Amargosa Desert,-116.47004920294124,36.55551000677908,7.15,19.3,302.0,25.15,1.81,64.27,4.22,128.5,0.0,63.33,14.29,0.0
2023-10-16,C06,AW11,Central Amargosa Desert,-116.48927200306866,36.5466765232172,7.14,18.3,267.0,21.4,0.97,60.43,7.78,121.97,0.0,40.85,12.15,0.99
2023-10-16,C06,AW12,Central Amargosa Desert,-116.50707820315472,36.55420399323803,7.01,18.3,313.0,15.08,0.64,94.83,6.8,140.67,0.0,39.1,14.43,1.43
2024-04-15,C07,Amargosa Tracer Well 2,Carbonate in Ash Meadows,-116.22749993863542,36.53456857486851,7.32,17.5,521.0,46.02,19.57,71.06,7.38,281.23,0.0,71.04,22.71,1.77
2024-04-15,C07,Army Well #1,Carbonate in Ash Meadows,-116.03729999376596,36.58978108246754,7.24,16.6,467.0,44.23,21.21,46.72,5.42,271.81,0.0,56.39,19.8,0.97
2024-04-15,C07,AW03,Central Amargosa Desert,-116.4450492026956,36.627732092347,7.2,16.9,277.0,24.1,2.0,54.07,4.38,144.55,0.0,36.14,11.06,0.9
2024-04-15,C07,AW04,Central Amargosa Desert,-116.47921680298263,36.59106529063086,7.23,16.9,260.0,28.34,2.12,48.31,5.28,136.13,0.0,30.3,8.38,1.02
2024-04-15,C07,AW05,Central Amargosa Desert,-116.47893880298592,36.58217644111423,7.31,17.3,270.0,26.93,2.7,49.24,5.73,137.74,0.0,35.87,11.34,0.7
2024-04-15,C07,AW06,Central Amargosa Desert,-116.47421640295715,36.57773204940819,7.23,17.3,260.0,20.91,2.18,54.51,6.46,133.51,0.0,33.56,9.15,0.0
2024-04-15,C07,AW07,Central Amargosa Desert,-116.46254920287647,36.57162111021975,7.18,17.6,360.0,27.0,3.16,84.88,8.91,138.39,0.0,78.98,18.42,0.0
2024-04-15,C07,AW08,Central Amargosa Desert,-116.4606046028628,36.569398913731774,7.24,16.3,357.0,20.39,2.41,92.65,8.69,134.17,0.0,81.02,17.13,0.88
2024-04-15,C07,AW09,Central Amargosa Desert,-116.49643920310228,36.556343071023335,7.23,17.9,295.0,17.74,2.5,71.62,8.6,144.76,0.0,35.38,13.16,1.25
2024-04-15,C07,AW10,Central Amargosa Desert,-116.47004920294124,36.55551000677908,7.23,17.0,307.0,26.0,1.63,70.5,4.36,123.74,0.0,65.59,15.18,0.0
2024-04-15,C07,AW11,Central Amargosa Desert,-116.48927200306866,36.5466765232172,7.35,17.1,269.0,19.94,1.04,62.56,8.2,120.57,0.0,43.15,13.02,0.97
2024-04-15,C07,AW12,Central Amargosa Desert,-116.50707820315472,36.55420399323803,7.43,17.0,317.0,14.62,0.64,99.7,6.31,137.26,0.0,41.27,15.74,1.52
2024-10-21,C08,Amargosa Tracer Well 2,Carbonate in Ash Meadows,-116.22749993863542,36.53456857486851,7.66,18.0,537.0,41.75,20.07,75.27,7.59,294.19,0.0,73.01,23.02,1.8
2024-10-21,C08,Army Well #1,Carbonate in Ash Meadows,-116.03729999376596,36.58978108246754,7.7,17.7,463.0,43.98,21.06,47.16,5.16,264.8,0.0,59.95,20.39,0.92
2024-10-21,C08,AW03,Central Amargosa Desert,-116.4450492026956,36.627732092347,7.67,17.1,289.0,25.69,1.9,57.68,4.63,149.2,0.0,37.8,11.31,0.94
2024-10-21,C08,AW04,Central Amargosa Desert,-116.47921680298263,36.59106529063086,7.63,18.4,258.0,26.91,2.13,48.07,5.13,135.89,0.0,29.9,9.16,0.99
2024-10-21,C08,AW05,Central Amargosa Desert,-116.47893880298592,36.58217644111423,7.55,17.6,289.0,27.95,2.35,56.14,5.57,150.16,0.0,35.25,11.26,0.71
2024-10-21,C08,AW06,Central Amargosa Desert,-116.47421640295715,36.57773204940819,7.63,17.2,262.0,20.34,2.25,59.1,6.44,128.79,0.0,34.96,10.55,0.0
2024-10-21,C08,AW07,Central Amargosa Desert,-116.46254920287647,36.57162111021975,7.63,17.5,359.0,25.77,3.35,86.53,8.42,131.52,0.0,82.78,20.15,0.0
2024-10-21,C08,AW08,Central Amargosa Desert,-116.4606046028628,36.569398913731774,7.51,17.9,370.0,19.6,2.41,96.16,9.13,134.25,0.0,88.64,18.41,0.91
2024-10-21,C08,AW09,Central Amargosa Desert,-116.49643920310228,36.556343071023335,7.63,18.4,300.0,17.52,2.48,76.65,8.58,144.69,0.0,35.13,14.06,1.16
2024-10-21,C08,AW10,Central Amargosa Desert,-116.47004920294124,36.55551000677908,7.52,18.6,310.0,23.55,1.75,76.21,4.3,118.98,0.0,68.9,16.48,0.0
2024-10-21,C08,AW11,Central Amargosa Desert,-116.48927200306866,36.5466765232172,7.64,17.8,271.0,18.79,1.0,70.82,8.22,114.17,0.0,43.27,14.17,1.01
2024-10-21,C08,AW12,Central Amargosa Desert,-116.50707820315472,36.55420399323803,7.69,17.4,332.0,13.9,0.63,112.12,7.04,136.52,0.0,43.13,17.02,1.52
